Country,Alpha-2,Alpha-3,Continent,Etymologi
Azerbaijan,AZ,AZE,Europe,"""Land of Atropates"", an Achaemenid then Hellenistic-era king over a region in present-day Iranian Azarbaijan and Iranian Kurdistan, south of the modern state.[75][76] Despite this difference, the present name was chosen by the Musavat to replace the Russian names Transcaucasia and Baku in 1918. ""Azerbaijan"" derives from Persian ?zarb?ydj?n, from earlier ?dharb?yag?n and ?dharb?dhag?n, from Middle Persian ?turp?t?k?n, from Old Persian Atropatkan. (The name is often derived from the Greek Atropatene (??????????),[77][78] Atropátios M?día (?????????? ?????),[79] or Tropat?n? (?????????),[80] although these were exonyms and Atropatkan was never thoroughly Hellenized.) Atropatkan was a renaming of the Achaemenian XVIII Satrapy of Eastern Armenia, comprising Matiene and the surrounding Urartians and Saspirians,[81] upon Aturpat's declaration of independence from the Diadochi Seleucus following the death of Alexander the Great. Aturpat's own name (Old Persian: Old Persian a.png Old Persian tu.png Old Persian ra.png Old Persian pa.png Old Persian a.png Old Persian tu.png; Greek: A??o?????, Atropát?s) is the Old Persian for ""protected by atar"", the holy fire of Zoroastrianism.[82] Albania, a former name: From the Latin Alb?nia, from the Greek Albanía ([text?]),[83] related to the Old Armenian A?uank? (???????). The native Lezgic name(s) for the country is unknown,[84] but Strabo reported its people to have 26 different languages and to have only been recently unified in his time. It is often referenced as ""Caucasian Albania"" in modern scholarship to distinguish it from the European country above. Arran, a former name: From the Middle Persian Arran, from Parthian Ardhan, derived via rhotacism from earlier names as above."
Bahamas,BS,BHS,North_America,"""Large upper middle island"", from the Lucayan name Bahama used by the indigenous Taíno people for the island of Grand Bahama.[85][86] Tourist guides often state that the name comes the Spanish baja mar ('shallow sea'),[85] in reference to the reef-filled Bahama Banks.[87]"
Bahrain,BH,BHR,Asia,"""The Two Seas"" in Arabic (?????????, al-Ba?rayn). However, the question of which two seas were originally intended remains in dispute.[88] A popular folk etymology relates Bahrain to the ""two seas"" mentioned five times in the Quran. The passages, however, do not refer to the modern island but rather to the Saudi deserts opposite modern Bahrain.[88] It is possible Bahrain (previously known as Awal) simply acquired its name when that region became known as al-Hasa, but today the name is generally taken to refer to the island itself. The two seas are then the bay east and west of the island,[89] the seas north and south of the island,[citation needed] or the salt water surrounding the island and the fresh water beneath it which appears in wells and also bubbling up at places in the middle of the gulf.[90] An alternate theory offered by al-Ahsa was that the two seas were the Great Green Ocean and a peaceful lake on the mainland;[which?] still another provided by al-Jawahari is that the original formal name Bahri (lit. ""belonging to the sea"") would have been misunderstood and so was opted against."
Bangladesh,BD,BGD,Asia,"The etymology of Bangladesh (Country of Bengal) can be traced to the early 20th century, when Bengali patriotic songs, such as Namo Namo Namo Bangladesh Momo by Kazi Nazrul Islam and Aaji Bangladesher Hridoy by Rabindranath Tagore, used the term.[91] The term Bangladesh was often written as two words, Bangla Desh, in the past. Starting in the 1950s, Bengali nationalists used the term in political rallies in East Pakistan. The exact origin of the word Bangla is unknown, though it is believed to come from ""Vanga"", an ancient kingdom mentioned in world's largest Epic Mahabharat even Ramayan and geopolitical division on the Ganges delta in the Indian subcontinent. It was located in southern Bengal, with the core region including present-day southern West Bengal (India) and southwestern Bangladesh. The suffix ""al"" came to be added to it from the fact that the ancient rajas of this land raised mounds of earth 10 feet high and 20 in breadth in lowlands at the foot of the hills which were called ""al"". From this suffix added to the Bung, the name Bengal arose and gained currency"".[92][93] Support to this view is found in Ghulam Husain Salim's Riyaz-us-Salatin.[94] Other theories point to a Bronze Age proto-Dravidian tribe,[95] the Austric word ""Bonga"" (Sun god),[96] and the Iron Age Vanga Kingdom.[96] The Indo-Aryan suffix Desh is derived from the Sanskrit word de?ha, which means ""land"" or ""country"". Hence, the name Bangladesh means ""Land of Bengal"" or ""Country of Bengal"".[97]Sanskrit language influenced the name of Bangladesh. The term Vanga was used in the Sanskrit texts. The term Bangla denotes both the Bengal region and the Bengali language. The earliest known usage of the term is the Nesari plate in 805 AD. The term Vangaladesa is found in 11th-century South Indian records.[97][98] The term gained official status during the Sultanate of Bengal in the 14th century.[99][100] Shamsuddin Ilyas Shah proclaimed himself as the first ""Shah of Bangala"" in 1342.[99] The word Bangla became the most common name for the region during the Islamic period. The Portuguese referred to the region as Bengala in the 16th century.[101]"
Barbados,BB,BRB,North_America,"""Bearded ones"", from the Portuguese As Barbadas,[102] corrected from earlier Barbata, Barbuda, S. Barduda, Barbadoes, &c.[102] First attested by a 1519 map done by the Genoese cartographer Visconte Maggiolo.[103] As with Barbuda, the name may derive from the appearance of the island's fig trees or from the beards of the indigenous people. (Isaac Taylor was of the opinion that Barbuda was named for its men, Barbados for its figs.[54])"
Belarus,BY,BLR,Europe,"""White Russia"", a compound of the Belarusian bel- (???-, ""white"") and Rus (????, Rus') adopted in 1991. The meaning is ""Russian"" in the cultural and historic (Old East Slavic: ?????, rusk?; Old Belarusian: ?????, ruski; Russian: ???????, russkiy) but not national sense (Russian: ?????????, rossiyánin), a distinction sometimes made by translating the name as ""White Ruthenia"", although ""Ruthenian"" has other meanings as well. The name is first attested in the 13th century as German Weissrussland and Latin Russia Alba, first in reference to Russia's White and then Black Sea coasts.[104] The exonym was next applied to Great Novgorod and then Muscovy after its conquest of that region, finally being applied to its present region in the late 16th century to describe ethnically Russian regions being conquered from Poland.[104] This last change was politically motivated, with Russia employing the foreign term to justify its revanchism at Poland's expense.[104] The original meaning of ""white"" in Belarus's name is unknown. It may simply have arisen from confusion with legends concerning Caucasian Albania[104] or from a use of colors to distinguish cardinal directions as seen in ""Red Russia"".[105] Other theories include its use to distinguish Belarus as ""free"" or ""pure"", particularly of Mongolian control, or to distinguish the region from ""Black Russia"", a region of productive soil.[citation needed] For the further etymology of Rus, see Russia below. Belorussia or Byelorussia, a former name: ""White Russia"" in Russian (??????????, Belorussiya), truncated from the White Russian Soviet Socialist Republic (???????????? ?????????? ????????????????? ???????????, Belorússkaya Sovétskaya Sotsalistícheskaya Respúblika) declared in 1919."
Belgium,BE,BEL,Europe,"""Land of the Belgae"", from the Roman province of Gallia Belgica (""Belgic Gaul"") derived from the Latinized name of a Celtic tribe. The present Kingdom of Belgium adopted the name upon its independence from the Netherlands in 1830 based on the French-language name of Henri Van der Noot's brief-lived United States of Belgium (États-Unis de Belgique) which had declared its independence from Austria in 1790. The tribe's exact endonym remains unknown, but the name Belgae is usually traced to the proposed Proto-Celtic root *belg- from the Proto-Indo-European *bhelgh-, both meaning ""to bulge"" or ""to swell"" (particularly with anger) and cognate with the Old English belgan, ""to be angry"".[106][107][108][109][110] An alternate etymology takes it from a proposed Proto-Indo-European root meaning ""dazzling"" or ""bright""[111]"
Belize,BZ,BLZ,North_America,"Etymology unknown. Traditionally derived from a Spanish transcription of ""Wallace"", a Scottish buccaneer who established an eponymous settlement (on Spanish maps, Valize and Balize[54]) along the Belize River (which he also named after himself) in the early 17th century.[112] Alternatively taken from the Mayan word beliz (""muddy water""),[113] presumably in reference to the river, or from Kongolese Africans who brought the name with them from Cabinda. Adopted in 1973 while still a self-governing colony of the United Kingdom. A previous folk etymology took it from the French balise (""beacon"").[54]"
Benin,BJ,BEN,Africa,"""[Land beside] the Bight of Benin"", the stretch of the Gulf of Guinea west of the Niger delta, a purposefully neutral name chosen to replace Dahomey (see below) in 1975. The Bight itself is named after a city and a kingdom in present-day Nigeria having no relation to the modern Benin. The English name comes from a Portuguese transcription (Benin) of a local corruption (Bini) of the Itsekiri form (Ubinu) of the Yoruba Ile-Ibinu (""Home of Vexation""), a name bestowed on the Edo capital by the irate Ife oba Oranyan in the 12th century.[citation needed] An alternate theory derives Bini from the Arabic bani (???, ""sons"" or ""tribe"").[citation needed] Dahomey or Dahomy, a former name: ""Belly of Dã"" in Fon (Dã Homè),[54] from the palace of the ahosu Akaba, traditionally built over the entrails of a local ruler.[114] In Fon, the name ""Dã"" or ""Dan"" can also mean ""snake"" or the snake-god Damballa. Upon the restoration of independence, the name was deemed no longer appropriate since the historic kingdom comprised only the southern regions and ethnicities of the modern state. Abomey, a former name: ""Ramparts"" in Fon (Agbomè), from the palace of the ahosu Houegbadja."
Bhutan,BT,BTN,Asia,"Etymology unknown. Names similar to Bhutan—including Bottanthis, Bottan, Bottanter—began to appear in Europe around the 1580s. Jean-Baptiste Tavernier's 1676 Six Voyages is the first to record the name Boutan. However, in every case, these seem to have been describing not modern Bhutan but the Kingdom of Tibet.[115] The modern distinction between the two did not begin until well into George Bogle's 1774 expedition—realizing the differences between the two regions, cultures, and states, his final report to the East India Company formally proposed labeling the Druk Desi's kingdom as ""Boutan"" and the Panchen Lama's as ""Tibet"". Subsequently, the EIC's surveyor general James Rennell first anglicized the French name as Bootan and then popularized the distinction between it and greater Tibet.[115] The name is traditionally taken to be a transcription of the Sanskrit Bho?a-anta (???-????, ""end of Tibet""), in reference to Bhutan's position as the southern extremity of the Tibetan plateau and culture.[54][116] ""Bhutan"" may have been truncated from this or been taken from the Nepali name Bhut?n (?????). It may also come from a truncation of Bodo Hathan (""Tibetan place"").[citation needed] All of these ultimately derive from the Tibetan endonym Bod. An alternate theory derives it from the Sanskrit Bhu-Utthan (??-??????, ""highlands""). Druk Yul, the local endonym: ""Land of the Thunder Dragon"" in Bhutanese (??????????). Variations of this were known and used as early as 1730. The first time a Kingdom of Bhutan separate from Tibet did appear on a western map, it did so under its local name as ""Broukpa""."
Bolivia,BO,BOL,South_America,"""Land of Bolivar"" in Neo-Latin, in honor of Simón Bolívar, one of the leading generals in the Spanish American wars of independence. Bolívar had given his lieutenant Antonio José de Sucre the option to keep Upper Peru under Peru, to unite it with the United Provinces of the Río de la Plata, or to declare its independence. A national assembly opted for independence, then sought to placate Bolívar's doubts by naming Bolívar as the first president of a country named in his honor.[117][118] The original name ""Republic of Bolivar"" was swiftly changed to Bolivia at the urging of the congressman Manuel Martín Cruz.[119] Bolívar's own name derives from the village of Bolibar in Spanish Biscay. Its name comes from the Basque bolu (""windmill"") and ibar (""valley"")."
Bosnia and Herzegovina,BA,BIH,Europe,"Bosnia: ""Land of the river Bosna"" in Latin, first attested in the Byzantine emperor Constantine VII's 958 De Administrando Imperio. (The 12th-century Chronicle of the Priest of Duklja also mentions an 8th-century source for the name which, however, has not survived.) ""Bosna"" was the medieval name of the classical Latin Bossina.[121] Anton Mayer proposed a connection with the proposed Proto-Indo-European roots *bos or *bogh (""running water"").[122] Certain Roman sources[which?] similarly mention Bathinus flumen as a name of the Illyrian Bosona, both of which would mean ""running water"" as well.[122] Other theories involve the rare Latin Bosina (""boundary"") or possible Slavic origins.[122] Herzegovina: ""Duchy"" or ""Dukedom"", an amalgam of German Herzog (""duke"") and the Bosnian -ovina (""-land""). The duke was Stjepan Vuk?i?, Grand Voivode of Bosnia, who proclaimed himself ""Duke of Hum and the Coast""[123] and then either proclaimed himself[123] or was bestowed the title[citation needed] ""Duke of Saint Sava of Serbia"" by the Holy Roman Emperor Frederick III around 1448. The Ottoman sanjak formed in the area after its 1482 conquest was simply called Hersek, but the longer Bosnian form was adopted by Austria and English."
Botswana,BW,BWA,Africa,"""Country of the Tswana"" in Setswana, after the country's dominant ethnic group. The etymology of ""Tswana"" is uncertain. Livingstone derived it from the Setswana tshwana (""alike"", ""equal""),[124] others from a word for ""free"".[125] However, other early sources suggest that while the Tswana adopted the name, it was an exonym they learned from the Germans and British.[126] Bechuanaland, a former name: from ""Bechuana"", an alternate spelling of ""Botswana""."
Brazil,BR,BRA,South_America,"brazilwood, from the Portuguese Terra do Brasil, from the tree pau-brasil (""brazilwood"", lit. ""wood of ember"", ""wood in ember""),[127] a name derived from its similarity to red-hot embers (Portuguese: brasa).[128][129][130] The name may have been a translation of the Tupi ibirapitanga, also meaning ""red-wood"".[citation needed] The ending -il derives from the diminutive Latin suffix -ilus.[128][129] The appearance of islands named ""Bracile"", ""Hy-Brazil"", or ""Ilha da Brasil"" on maps as early as the c. 1330 portolan chart of Angelino Dulcert[127] sometimes leads etymologists to question the standard etymology. While most of these islands of Brazil are found off the coast of Ireland and may be taken to stem from a Celtic rendering of the legendary Isle of the Blessed,[127] the 1351 Medici Atlas places one Brazil near Ireland and a second one off the Azores near Terceira Island. That use may derive from its four volcanoes or reference its dragon's blood, a red resin dye. Regardless, the initial names of present-day Brazil were Ilha de Vera Cruz (""Island of the True Cross"") and then – after it was discovered to be a new mainland – Terra de Santa Cruz (""Land of the Holy Cross""); this only changed after a Lisbon-based merchant consortium led by Fernão de Loronha leased the new colony for massive exploitation of the costly dyewood which had previously been available only from India."
Brunei,BN,BRN,Asia,"Etymology unknown. Modern folk etymology derives the name Brunei from a Malay exclamation Barunah! (""There!""), supposedly exclaimed by Awang Alak Betatar, the legendary 14th-century sultan, upon landing on Borneo or upon moving from Garang to the Brunei river delta.[131][132] An earlier folk etymology traced it to his alleged membership in an Arabian tribe called the Buranun.[citation needed] Chinese sources recording a mission from the king of ""Boni"" (??, Bóní) as early as 978[133] and a later ""P'o-li"" (??, Pólì) seem to contradict these but may refer to Borneo as a whole.[134] It is mentioned in the 15th-century history of Java as a country conquered by Adaya Mingrat, general of Angka Wijaya,[135] and around 1550 by the Italian Ludovico di Varthema under the name ""island of Bornei"". Other derivations include an Indian word for ""seafarers"" (from Sanskrit: ????, varunai),[136] another for ""land"" (from Sanskrit: bhumi),[137] or the Kelabit for the Limbang River.[138] It is also said that the word 'Brunei' is said to have come from the Sanskrit word Bh?r?i (??????) which means ""land"" or ""earth"" and Brunei could have been called Karp?radv?pa (???????????) which means ""camphor island"" as camphor was one export Brunei was well known for in ancient times."
Bulgaria,BG,BGR,Europe,"From the Bulgars, the extinct tribe of Turkic origin, which created the country. Their name is possibly derived from the Proto-Turkic word bul?ha (""to mix"", ""shake"", ""stir"") and its derivative bulgak (""revolt"", ""disorder"")[140] Alternate etymologies include derivation from a Mongolic cognate bul?arak (""to separate"", ""split off"")[citation needed] or from a compound of proto-Turkic bel (""five"") and gur (""arrow"" in the sense of ""tribe""), a proposed division within the Utigurs or Onogurs (""ten tribes"").[141] Within Bulgaria, some historians question the identification of the Bulgars as a Turkic tribe, citing certain linguistic evidence (such as Asparukh's name) in favor of a North Iranian or Pamiri origin."
Burkina Faso,BF,BFA,Africa,"""Land of Honest Men"", from an amalgam of More burkina (""honest"", ""upright"", or ""incorruptible men"") and Dioula faso (""homeland""; literally ""father's house""), selected by President Thomas Sankara following his 1983 coup to replace Upper Volta. Upper Volta, a former name: ""Land of the Upper Volta River"", whose main tributaries originate in the country. The Volta itself (Portuguese: ""twist"", ""turn"") was named by Portuguese gold traders exploring the region."
Burundi,BI,BDI,Africa,"""Land of the Ikirundi speakers"" in Ikirundi, adopted upon independence from Belgian-occupied Rwanda-Urundi in 1962."
Cambodia,KH,KHM,Asia,"""Land of the Kambojas"". Anglicised from French Cambodge via an intermediate Khmer form Kampuchea, from Sanskrit Kambujade?a (?????????). The AD 947 Baksei Chamkrong inscription explains (and probably invented) the Sanskrit name from Kambu, a legendary Indian sage who journeyed to Indochina and married a naga princess named Mera, plus (-ja) meaning ""descendants of"".[149] In informal usage Cambodians refer to their country as Srok Khmer, ""Land of the Khmers""."
Cameroon,CM,CMR,Africa,"""Shrimp"", from the singular French Cameroun derived from the German Kamerun, from the anglicized ""Cameroons"" derived from the Portuguese Rio de Camarões[150] (""Shrimp River"") bestowed in 1472 on account of a massive swarm of the Wouri River's ghost shrimp.[150] Kamerun, a former name: The German name for their colony there between 1884 and the end of World War I, as above. Formerly also known simply as German Cameroon. Cameroun, a former name: The French name for their colony there between World War I and 1960, as above. Formerly also known simply as French Cameroons."
Canada,CA,CAN,North_America,"""Village"", from Iroquoian Kanada,[151] adopted for the entire Canadian Confederation in 1867, from name of the British Province of Canada formed by the 1841 reunification of Upper and Lower Canada, previously established by a division of Quebec, the British renaming of the French territory of Canada. French Canada had received its name when its administrators adopted the name used by the explorer Jacques Cartier to refer to St. Lawrence River and the territory along it belonging to the Iroquoian chief Donnacona. In 1535, he had misunderstood the Laurentian Kanada as the name of Donnacona's capital Stadacona.[152] A former folk etymology derived the name from Spanish or Portuguese acá or cá nada (""nothing here"") in reference to the region's lack of gold or silver."
Cape Verde,CV,CPV,Africa,"""Green Cape"", from the Portuguese Cabo Verde, from its position across from the mainland cape of that name since its discovery in 1444. The cape is located beside Gorée Island in the modern nation of Senegal and is now known by its French form ""Cap-Vert"""
Central African Republic,CF,CAF,Africa,"Self-descriptive, from its French name République centrafricaine. For further etymology of ""Africa"", see List of continent-name etymologies. Ubangi-Shari, a former name: From the French Oubangui-Chari, from the Ubangi and the Chari Rivers, which ran through the territory."
Chad,TD,TCD,Africa,"""Lake"", from Lake Chad in the country's southwest, whose name derives from the Kanuri tsade (""lake"")."
Chile,CH,CHL,South_America,"Etymology unknown. The name dates to the ""men of Chilli"",[156] the survivors of the first Spanish expedition into the region in 1535 under Diego de Almagro. Almagro applied the name to the Mapocho valley,[157] but its further etymology is debated. The 17th-century Spanish chronicler Diego de Rosales derived it from the Quechua Chili, a toponym for the Aconcagua valley, which he considered a corruption of Tili, the name of a Picunche chief who ruled the area at the time of its conquest by the Inca.[158][159] Modern theories derive it from the similarly named Incan settlement and valley of Chili in Peru's Casma Valley,[157] the Quechua chiri (""cold""),[160] the Aymara tchili (""snow""[160][161] or ""depths""[162]), the Mapuche chilli (""where the land ends"" or ""runs out""),[156] or the Mapuche cheele-cheele (""yellow-winged blackbird"").[156][163] A folk etymology attributes the name to chili peppers, sometimes via the Mexican Spanish chile (""chili""), but the two are almost certainly unrelated."
China,CN,CHN,Asia,"Derived from Middle Persian Ch?n? ????, derived from Sanskrit C?n?h (???).[165] Often said that the word ""China"" and its related terms are derived from the Qin state which existed on the furthest west of China proper since the 9th century BC, and which later unified China to form the Qin dynasty (?, Old Chinese: *dzin).[166][167][168] This is still the most commonly held theory, although many other suggestions have been mooted.[169][170] The existence of the word C?na in ancient Hindu texts was noted by the Sanskrit scholar Hermann Jacobi who pointed out its use in the work Arthashastra with reference to silk and woven cloth produced by the country of C?na. The word is also found in other texts including the Mah?bh?rata and the Laws of Manu.[171] The Indologist Patrick Olivelle however argued that the word C?n? may not have been known in India before the first century BC, nevertheless he agreed that it probably referred to Qin but thought that the word itself was derived from a Central Asian language.[172] Some Chinese and Indian scholars argued for the state of Jing (?) as the likely origin of the name.[170] Another suggestion, made by Geoff Wade, is that the C?n?h in Sanskrit texts refers to an ancient kingdom centered in present-day Guizhou, called Yelang, in the south Tibeto-Burman highlands.[171] The inhabitants referred to themselves as Zina according to Wade.[173] The word in Europe is first recorded in 1516 in the journal of Portuguese explorer Duarte Barbosa.[174] The word is first recorded in English in a translation published in 1555."
Colombia,CO,COL,South_America,"""Land of Columbus"" in Spanish, adopted in 1863[178] in honor of the earlier Gran Colombia formed by Simón Bolívar in 1819 after a proposal of Francisco de Miranda for a single pan–Hispanic American state."
Comoros,KM,COM,Africa,"""Moons"", from the Arabic Jaz?'ir al-Qamar (??? ?????, ""Islands of the Moon"")."
Costa Rica,CR,CRI,North_America,"""Rich Coast"" in Spanish, although the origin of the epithet is disputed. Some claim it was bestowed by Christopher Columbus in 1502 as Costa del Oro (""Gold Coast""),[54] others by the explorer Gil González Dávila."
